,Availability,Brand,Name,Proof,Region,Type,Weight,Previous_price,Discount_price,Price_diff,Discount
76,Out of stock,Green Mark,Green Mark Vodka 750ml,80.0,Russia,Vodka,3.5 lbs,14.95,7.95,6.999999999999999,0.46822742474916385
77,In stock,1792,1792 Small Batch Bourbon Whiskey 750ml,93.7,America,Whiskey,3.5 lbs,34.95,24.99,9.960000000000004,0.2849785407725323
79,Out of stock,Dalwhinnie,Dalwhinnie Winter’s Frost Game Of Thrones House Stark,86.0,Scotland,Whiskey,3.5 lbs,64.95,64.95,0.0,0.0
80,In stock,Appleton Estate,Appleton Estate Joy Anniversary Blend 25 Year,90.0,Jamaica,Rum,3.5 lbs,249.95,249.95,0.0,0.0
81,In stock,Adictivo,Adictivo Black Edition Extra Anejo Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,88.95,88.95,0.0,0.0
85,In stock,Monkey 47,Monkey 47 Schwarzwald Dry Gin 375ml,94.0,Germany,Gin,3.5 lbs,49.95,39.95,10.0,0.20020020020020018
86,In stock,Monkey 47,Monkey 47 Schwarzwald Dry Gin 1L,94.0,Germany,Gin,3.5 lbs,81.95,81.95,0.0,0.0
87,In stock,Hennessy,Hennessy Master Blenders Selection No 1 375ml,96.0,France,Cognac,3.5 lbs,199.95,199.95,0.0,0.0
90,In stock,Copalli,Copalli Barrel Rested Organic Rum,88.0,Belize,Rum,3.5 lbs,37.95,37.95,0.0,0.0
91,Only 2 left in stock,Dalwhinnie,The Singleton of Glendullan Game Of Thrones House Tully,102.4,Scotland,Whiskey,3.5 lbs,49.95,49.95,0.0,0.0
92,Out of stock,Bookers,Booker’s 2018 – 04 Kitchen Table Bourbon Whiskey,118.0,America,Whiskey,5 lbs,79.95,79.95,0.0,0.0
93,In stock,Rebel Yell,Rebel Yell Bourbon Whiskey,80.0,America,Whiskey,3.5 lbs,12.95,12.95,0.0,0.0
94,Out of stock,Rancho De La Luna,Rancho De La Luna Mezcal 750ml,84.0,Mexico,Tequila,3.5 lbs,48.95,48.95,0.0,0.0
95,In stock,Gem & Bolt,Gem & Bolt Mezcal 750ml,88.0,Mexico,Tequila,3.5 lbs,36.95,24.95,12.000000000000004,0.3247631935047362
96,In stock,Roku,Roku Japanese Gin 750ml,86.0,Japan,Gin,3.5 lbs,29.95,29.95,0.0,0.0
98,In stock,Clase Azul,Tequila Clase Azul Plata 750ml,80.0,Mexico,Tequila,3.5 lbs,69.95,69.95,0.0,0.0
99,In stock,Hartley,Hartley VSOP Brandy 750ml,80.0,Italy,Brandy,3.5 lbs,5.95,5.95,0.0,0.0
105,In stock,Blood Sweat Tears,Blood Sweat Tears Vodka,80.0,America,Vodka,3.5 lbs,27.95,27.95,0.0,0.0
106,In stock,Codigo 1530,Codigo 1530 Reposado Tequila 750ml,80.0,Mexico,Tequila,3.5 lbs,49.95,49.95,0.0,0.0
108,In stock,Old Forester,Old Forester Rye Whiskey,100.0,America,Whiskey,3.5 lbs,25.95,25.95,0.0,0.0
110,In stock,Sugerlands Shine,Sugarlands Shine Jim Tom Hendicks Unaged Rye Moonshine 750ml,70.0,America,Moonshine,3.5 lbs,19.95,19.95,0.0,0.0
111,Only 2 left in stock,Sugerlands Shine,Sugarlands Shine Cole Swindell’s Peppermint Moonshine 750ml,70.0,America,Moonshine,3.5 lbs,19.95,19.95,0.0,0.0
112,Out of stock,Los Azulejos,Los Azulejos Love Anejo Tequila Half Gallon,80.0,Mexico,Tequila,5 lbs,159.95,159.95,0.0,0.0
113,In stock,Foursquare Rum Distillery,Foursquare Rum Distillery 2005 Cask Strength 750ml,118.6,Barbados,Rum,3.5 lbs,89.95,89.95,0.0,0.0
114,Only 2 left in stock,Yamazaki,Yamazaki 18 Year Single Malt Japanese Whiskey 750ml,86.0,Japan,Whiskey,3.5 lbs,999.95,999.95,0.0,0.0
